tournament_id,match_id,match_number,date,tournament,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,team_score,opponent_score,result,city,country,neutral,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta
,,,1963-11-18,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Egypt,EGY,EGY,CAF,FALSE,0,7,loss,Jakarta,Indonesia,TRUE,1301,1701,1295,1707,-6
,,,1967-12-10,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Tunisia,TUN,TUN,CAF,TRUE,4,0,win,Riyadh,Saudi Arabia,FALSE,1317,1609,1345,1581,28
,,,1969-01-17,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Turkey,TUR,TUR,UEFA,TRUE,1,2,loss,Riyadh,Saudi Arabia,FALSE,1345,1591,1339,1597,-6
,,,1970-03-28,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Kuwait,KWT,KWT,AFC,TRUE,1,3,loss,Isa Town,Bahrain,TRUE,1342,1276,1306,1312,-36
,,,1970-03-30,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Bahrain,,,,FALSE,0,0,draw,Isa Town,Bahrain,FALSE,1306,1110,1301,1115,-5
,,,1970-04-02,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Qatar,QAT,QAT,AFC,TRUE,1,1,draw,Isa Town,Bahrain,TRUE,1301,1072,1289,1084,-12
,,,1972-03-16,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Kuwait,KWT,KWT,AFC,TRUE,2,2,draw,Riyadh,Saudi Arabia,FALSE,1289,1348,1287,1350,-2
,,,1972-03-19,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,United Arab Emirates,ARE,ARE,AFC,TRUE,4,0,win,Riyadh,Saudi Arabia,FALSE,1287,1116,1300,1103,13
,,,1972-03-24,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Qatar,QAT,QAT,AFC,TRUE,4,0,win,Riyadh,Saudi Arabia,FALSE,1300,992,1307,985,7
,,,1972-03-28,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Bahrain,,,,TRUE,2,1,win,Riyadh,Saudi Arabia,FALSE,1307,1187,1316,1178,9
,,,1974-03-06,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Morocco,MAR,MAR,CAF,TRUE,0,0,draw,Riyadh,Saudi Arabia,FALSE,,,,,
,,,1974-03-16,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Qatar,QAT,QAT,AFC,FALSE,2,0,win,Kuwait City,Kuwait,TRUE,1322,972,1329,965,7
,,,1974-03-21,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Bahrain,,,,FALSE,4,1,win,Kuwait City,Kuwait,TRUE,1329,1137,1346,1120,17
,,,1974-03-23,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,United Arab Emirates,ARE,ARE,AFC,TRUE,2,0,win,Kuwait City,Kuwait,TRUE,1346,1109,1358,1097,12
,,,1974-03-26,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Qatar,QAT,QAT,AFC,FALSE,3,1,win,Kuwait City,Kuwait,TRUE,1358,990,1364,984,6
,,,1974-03-29,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Kuwait,KWT,KWT,AFC,FALSE,0,4,loss,Kuwait City,Kuwait,FALSE,1364,1452,1345,1471,-19
