date,tournament,status,team,team_code,opponent,opponent_code,is_home,team_score,opponent_score,result,city,country,neutral,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta
1956-10-06,Friendly,played,Togo,TGO,Nigeria,NGA,FALSE,1,1,draw,Lagos,Nigeria,FALSE,,,,,
1956-10-20,Friendly,played,Togo,TGO,Ghana,GHA,TRUE,1,1,draw,Lomé,Togo,FALSE,,,,,
1958-02-20,Friendly,played,Togo,TGO,Ghana,GHA,FALSE,2,5,loss,Accra,Ghana,FALSE,,,,,
1960-04-24,Friendly,played,Togo,TGO,Nigeria,NGA,TRUE,1,1,draw,Lomé,Togo,FALSE,1529,1645,1529,1645,0
1960-05-01,Friendly,played,Togo,TGO,Ghana,GHA,TRUE,2,3,loss,Lomé,Togo,FALSE,1529,1747,1519,1757,-10
1962-05-09,Friendly,played,Togo,TGO,Guinea,,TRUE,2,1,win,Lomé,Togo,FALSE,,,,,
1963-10-31,Friendly,played,Togo,TGO,Cameroon,CMR,FALSE,1,2,loss,Yaoundé,Cameroon,FALSE,1540,1481,1531,1490,-9
1965-01-09,Friendly,played,Togo,TGO,DR Congo,,TRUE,0,3,loss,Lomé,Togo,FALSE,1585,1567,1562,1590,-23
1965-07-19,All-African Games,played,Togo,TGO,Mali,,FALSE,2,1,win,Brazzaville,Congo,TRUE,1566,1520,1583,1503,17
1965-07-20,All-African Games,played,Togo,TGO,Congo,,FALSE,2,7,loss,Brazzaville,Congo,FALSE,1583,1586,1555,1614,-28
1965-07-20,All-African Games,played,Togo,TGO,Uganda,,TRUE,1,1,draw,Brazzaville,Congo,TRUE,,,,,
1965-07-25,All-African Games,played,Togo,TGO,DR Congo,,FALSE,1,5,loss,Brazzaville,Congo,TRUE,,,,,
1965-07-26,All-African Games,played,Togo,TGO,Madagascar,,TRUE,1,0,win,Brazzaville,Congo,TRUE,,,,,
1966-03-06,Friendly,played,Togo,TGO,Nigeria,NGA,TRUE,2,2,draw,Lomé,Togo,FALSE,,,,,
1966-04-09,Friendly,played,Togo,TGO,Nigeria,NGA,FALSE,1,1,draw,Lagos,Nigeria,FALSE,1513,1539,1516,1536,3
1966-04-26,Friendly,played,Togo,TGO,Benin,,TRUE,1,0,win,Lomé,Togo,FALSE,1516,1457,1522,1451,6
1966-05-29,Friendly,played,Togo,TGO,Benin,,FALSE,2,2,draw,Cotonou,Dahomey,FALSE,1522,1451,1523,1450,1
1966-08-16,Friendly,played,Togo,TGO,Ivory Coast,CIV,TRUE,1,2,loss,Lomé,Togo,FALSE,,,,,
1966-08-18,Friendly,played,Togo,TGO,Ghana,GHA,TRUE,1,1,draw,Lomé,Togo,FALSE,1515,1868,1521,1862,6
1966-08-21,Friendly,played,Togo,TGO,Ghana,GHA,FALSE,2,6,loss,Accra,Ghana,FALSE,1521,1862,1518,1865,-3
1966-10-31,Friendly,played,Togo,TGO,Cameroon,CMR,FALSE,0,2,loss,Yaoundé,Cameroon,FALSE,1518,1553,1509,1562,-9
1967-02-18,Friendly,played,Togo,TGO,DR Congo,,TRUE,2,4,loss,Lomé,Togo,FALSE,,,,,
1967-04-02,African Cup of Nations qualification,played,Togo,TGO,Niger,,TRUE,1,0,win,Lomé,Togo,FALSE,,,,,
1967-04-15,African Cup of Nations qualification,played,Togo,TGO,Nigeria,NGA,FALSE,2,4,loss,Lagos,Nigeria,FALSE,1488,1533,1470,1551,-18
1967-04-30,African Cup of Nations qualification,played,Togo,TGO,Ivory Coast,CIV,FALSE,0,3,loss,Abidjan,Ivory Coast,FALSE,1470,1712,1461,1721,-9
1967-08-16,African Cup of Nations qualification,played,Togo,TGO,Ivory Coast,CIV,TRUE,0,2,loss,Lomé,Togo,FALSE,,,,,
1968-04-07,Friendly,played,Togo,TGO,Guinea,,TRUE,1,1,draw,Lomé,Togo,FALSE,1461,1573,1461,1573,0
1969-08-10,African Cup of Nations qualification,played,Togo,TGO,Guinea,,FALSE,0,4,loss,Conakry,Guinea,FALSE,,,,,
1969-08-24,African Cup of Nations qualification,played,Togo,TGO,Guinea,,TRUE,1,1,draw,Lomé,Togo,FALSE,1441,1633,1446,1628,5
1970-10-25,Friendly,played,Togo,TGO,Senegal,SEN,TRUE,3,0,win,Lomé,Togo,FALSE,1446,1546,1464,1528,18
1970-11-08,African Cup of Nations qualification,played,Togo,TGO,Benin,,TRUE,2,1,win,Lomé,Togo,FALSE,1464,1442,1477,1429,13
1970-11-22,African Cup of Nations qualification,played,Togo,TGO,Benin,,FALSE,0,0,draw,Porto-Novo,Dahomey,FALSE,1477,1429,1480,1426,3
1971-03-24,Friendly,played,Togo,TGO,Liberia,,TRUE,0,2,loss,Lomé,Togo,FALSE,1497,1351,1473,1375,-24
1971-10-13,African Cup of Nations qualification,played,Togo,TGO,Ghana,GHA,TRUE,0,0,draw,Lomé,Togo,FALSE,,,,,
1971-10-27,African Cup of Nations qualification,played,Togo,TGO,Ghana,GHA,FALSE,1,0,win,Accra,Ghana,FALSE,,,,,
1971-11-30,Friendly,played,Togo,TGO,Burkina Faso,,TRUE,1,0,win,Lomé,Togo,FALSE,1501,1370,1505,1366,4
1971-12-12,Friendly,played,Togo,TGO,Burkina Faso,,FALSE,2,1,win,Ouagadougou,Upper Volta,FALSE,1505,1366,1514,1357,9
1972-01-20,Friendly,played,Togo,TGO,Benin,,TRUE,4,0,win,Lomé,Togo,FALSE,1514,1432,1524,1422,10
1972-02-24,African Cup of Nations,played,Togo,TGO,Mali,,FALSE,3,3,draw,Yaoundé,Cameroon,TRUE,1524,1596,1529,1591,5
1972-02-26,African Cup of Nations,played,Togo,TGO,Cameroon,CMR,FALSE,0,2,loss,Yaoundé,Cameroon,FALSE,1529,1578,1507,1600,-22
1972-02-28,African Cup of Nations,played,Togo,TGO,Kenya,,FALSE,1,1,draw,Yaoundé,Cameroon,TRUE,1507,1409,1500,1416,-7
1972-06-06,FIFA World Cup qualification,played,Togo,TGO,DR Congo,,TRUE,0,0,draw,Lomé,Togo,FALSE,,,,,
1972-06-20,FIFA World Cup qualification,played,Togo,TGO,DR Congo,,FALSE,0,4,loss,Kinshasa,Zaïre,FALSE,,,,,
1972-12-28,Friendly,played,Togo,TGO,Ghana,GHA,FALSE,2,2,draw,Accra,Ghana,FALSE,1440,1634,1445,1629,5
1974-03-06,Friendly,played,Togo,TGO,Denmark,DNK,TRUE,0,2,loss,Lomé,Togo,FALSE,1445,1659,1435,1669,-10
1974-07-04,Friendly,played,Togo,TGO,China PR,,FALSE,2,4,loss,Beijing,China PR,FALSE,,,,,
1974-11-10,African Cup of Nations qualification,played,Togo,TGO,Liberia,,TRUE,1,0,win,Lomé,Togo,FALSE,1435,1364,1446,1353,11
1974-11-22,African Cup of Nations qualification,played,Togo,TGO,Liberia,,FALSE,2,0,win,Monrovia,Liberia,FALSE,1446,1353,1477,1322,31
1975-04-13,African Cup of Nations qualification,played,Togo,TGO,Cameroon,CMR,FALSE,0,3,loss,Douala,Cameroon,FALSE,1467,1589,1452,1604,-15
1975-04-20,African Cup of Nations qualification,played,Togo,TGO,Cameroon,CMR,TRUE,4,0,win,Lomé,Togo,FALSE,1437,1604,1482,1559,45
1975-04-26,Friendly,played,Togo,TGO,Nigeria,NGA,FALSE,0,1,loss,Dakar,Senegal,TRUE,,,,,
1975-04-27,Friendly,played,Togo,TGO,Ivory Coast,CIV,FALSE,3,0,win,Dakar,Senegal,TRUE,,,,,
1975-07-03,African Cup of Nations qualification,played,Togo,TGO,Guinea,,TRUE,2,2,draw,Lomé,Togo,FALSE,1489,1681,1494,1676,5
1975-07-17,African Cup of Nations qualification,played,Togo,TGO,Guinea,,FALSE,0,2,loss,Conakry,Guinea,FALSE,1494,1676,1484,1686,-10
1976-03-21,Friendly,played,Togo,TGO,Ghana,GHA,FALSE,0,4,loss,Accra,Ghana,FALSE,1487,1643,1480,1650,-7
