team,team_id,team_code,confederation,tournament,tournament_id,year,player_name,player_id,position,pos_code,shirt_number,date_of_birth,age,club,club_country,caps,goals
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Alexandre Guimarães,P-35501,midfielder,MF,9,1959-11-07,30,CD Saprissa Tibás,Costa Rica,2,0
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Claudio Jara,P-01259,forward,FW,11,1959-05-06,31,CS Herediano,Costa Rica,5,0
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Geovanny Jara,P-73643,defender,DF,18,1967-07-20,22,,,,
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Germán Chavarría,P-13444,midfielder,MF,8,1958-03-19,32,,,,
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Hermidio Barrantes,P-81990,goal keeper,GK,21,1964-09-02,25,Municipal Puntarenas,Costa Rica,1,0
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Hernán Medford,P-02273,forward,FW,7,1968-05-23,22,Rapid Wien,Austria,4,0
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Héctor Marchena,P-37790,defender,DF,19,1965-01-04,25,CS Cartaginés,Costa Rica,7,0
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,José Carlos Chaves,P-78926,midfielder,MF,6,1958-09-03,31,,,,
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,José Jaikel,P-73174,forward,FW,16,1966-04-03,24,CD Saprissa Tibás,Costa Rica,1,0
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Juan Cayasso,P-18941,midfielder,MF,14,1961-06-24,28,Stuttgarter Kickers,Germany,8,3
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Luis Gabelo Conejo,P-62978,goal keeper,GK,1,1960-01-01,30,,,,
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Marvin Obando,P-50080,defender,DF,5,1960-04-04,30,CS Herediano,Costa Rica,4,0
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Mauricio Montero,P-48788,defender,DF,20,1963-10-19,26,LD Alajuelense,Costa Rica,8,0
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Miguel Davis,P-64783,midfielder,MF,13,1966-06-18,23,LD Alajuelense,Costa Rica,2,0
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Miguel Segura,P-39680,goal keeper,GK,22,1963-09-02,26,,,,
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Oscar Ramírez,P-27437,midfielder,MF,10,1964-12-08,25,LD Alajuelense,Costa Rica,6,0
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Roy Myers,P-87653,midfielder,MF,17,1969-04-13,21,AsoDe Limonense,Costa Rica,0,0
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Róger Flores,P-59912,defender,DF,3,1959-05-26,31,CD Saprissa Tibás,Costa Rica,6,0
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Róger Gómez,P-16382,midfielder,MF,12,1965-02-07,25,CS Cartaginés,Costa Rica,4,0
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Rónald González Brenes,P-74237,defender,DF,4,1970-08-08,19,,,,
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Rónald Marín,P-49136,defender,DF,15,1962-11-02,27,CS Herediano,Costa Rica,0,0
Costa Rica,CRI,CRI,CONCACAF,1990 FIFA Men's World Cup,WC-1990,1990,Vladimir Quesada,P-65985,defender,DF,2,1966-05-12,24,CD Saprissa Tibás,Costa Rica,0,0
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Carlos Castro,P-73169,defender,DF,22,1978-09-10,23,LD Alajuelense,Costa Rica,12,0
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Daniel Vallejos,P-75965,defender,DF,13,1981-05-27,21,CS Herediano,Costa Rica,3,0
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Erick Lonnis,P-74709,goal keeper,GK,1,1965-09-09,36,CD Saprissa Tibás,Costa Rica,10,0
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Gilberto Martínez,P-32696,defender,DF,5,1979-10-01,22,Brescia Calcio,Italy,12,0
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Harold Wallace,P-85975,defender,DF,15,1975-09-07,26,San Luis FC,Mexico,10,0
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Hernán Medford,P-02273,midfielder,MF,17,1968-05-23,34,CD Saprissa Tibás,Costa Rica,3,1
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Jervis Drummond,P-56632,defender,DF,2,1976-09-08,25,CD Saprissa Tibás,Costa Rica,4,0
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Juan José Rodríguez,P-56119,defender,DF,14,1967-06-23,34,AD San Carlos,Costa Rica,2,0
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Lester Morgan,P-74506,goal keeper,GK,23,1976-05-02,26,,,,
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Luis Marín,P-50749,defender,DF,3,1974-08-10,27,LD Alajuelense,Costa Rica,13,0
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Mauricio Solís,P-26474,midfielder,MF,8,1972-12-13,29,OF Irakliou,Greece,10,0
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Mauricio Wright,P-56613,defender,DF,4,1970-12-20,31,AEK Athinon,Greece,7,1
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Pablo Chinchilla,P-29122,defender,DF,21,1978-12-21,23,LD Alajuelense,Costa Rica,2,1
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Paulo Wanchope,P-22046,forward,FW,9,1976-07-31,25,Manchester City,England,7,3
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Rodrigo Cordero,P-98663,midfielder,MF,19,1973-12-04,28,CS Cartaginés,Costa Rica,3,0
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Rolando Fonseca,P-03776,forward,FW,7,1974-06-06,27,Comunicaciones Guatemala,Guatemala,7,2
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Rónald Gómez,P-55170,forward,FW,11,1975-01-24,27,Al-Qadsiya SC,Kuwait,10,4
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Steven Bryce,P-14189,forward,FW,16,1977-08-16,24,LD Alajuelense,Costa Rica,4,1
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Walter Centeno,P-68890,midfielder,MF,10,1974-10-06,27,AEK Athinon,Greece,10,2
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,William Sunsing,P-96930,forward,FW,20,1977-05-12,25,CD Saprissa Tibás,Costa Rica,1,0
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Winston Parks,P-20880,forward,FW,12,1981-10-12,20,Ascoli Calcio,Italy,2,2
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Wílmer López,P-67575,midfielder,MF,6,1971-03-08,31,,,,
Costa Rica,CRI,CRI,CONCACAF,2002 FIFA Men's World Cup,WC-2002,2002,Álvaro Mesén,P-86109,goal keeper,GK,18,1972-12-24,29,LD Alajuelense,Costa Rica,3,0
Costa Rica,CRI,CRI,CONCACAF,2006 FIFA Men's World Cup,WC-2006,2006,Carlos Hernández,P-13659,midfielder,MF,16,1982-04-09,24,LD Alajuelense,Costa Rica,4,1
Costa Rica,CRI,CRI,CONCACAF,2006 FIFA Men's World Cup,WC-2006,2006,Christian Bolaños,P-57722,midfielder,MF,7,1984-05-17,22,CD Saprissa Tibás,Costa Rica,3,0
Costa Rica,CRI,CRI,CONCACAF,2006 FIFA Men's World Cup,WC-2006,2006,Danny Fonseca,P-30163,midfielder,MF,6,1979-11-07,26,Brujas FC Escazu,Costa Rica,5,1
Costa Rica,CRI,CRI,CONCACAF,2006 FIFA Men's World Cup,WC-2006,2006,Douglas Sequeira,P-37092,midfielder,MF,20,1977-08-23,28,Real Salt Lake,USA,7,0
Costa Rica,CRI,CRI,CONCACAF,2006 FIFA Men's World Cup,WC-2006,2006,Gabriel Badilla,P-97927,defender,DF,17,1984-06-30,21,CD Saprissa Tibás,Costa Rica,3,0
Costa Rica,CRI,CRI,CONCACAF,2006 FIFA Men's World Cup,WC-2006,2006,Gilberto Martínez,P-32696,defender,DF,5,1979-10-01,26,AS Roma,Italy,3,0
Costa Rica,CRI,CRI,CONCACAF,2006 FIFA Men's World Cup,WC-2006,2006,Harold Wallace,P-85975,defender,DF,15,1975-09-07,30,LD Alajuelense,Costa Rica,2,0
Costa Rica,CRI,CRI,CONCACAF,2006 FIFA Men's World Cup,WC-2006,2006,Jervis Drummond,P-56632,defender,DF,2,1976-09-08,29,CD Saprissa Tibás,Costa Rica,1,0
Costa Rica,CRI,CRI,CONCACAF,2006 FIFA Men's World Cup,WC-2006,2006,José Francisco Porras,P-66817,goal keeper,GK,18,1970-11-08,35,CD Saprissa Tibás,Costa Rica,4,0
Costa Rica,CRI,CRI,CONCACAF,2006 FIFA Men's World Cup,WC-2006,2006,Kurt Bernard,P-01674,forward,FW,13,1977-08-08,28,,,,
Costa Rica,CRI,CRI,CONCACAF,2006 FIFA Men's World Cup,WC-2006,2006,Leonardo González,P-12856,defender,DF,12,1980-11-21,25,CS Herediano,Costa Rica,6,0
Costa Rica,CRI,CRI,CONCACAF,2006 FIFA Men's World Cup,WC-2006,2006,Luis Marín,P-50749,defender,DF,3,1974-08-10,31,Maccabi Netanya,Israel,6,0
Costa Rica,CRI,CRI,CONCACAF,2006 FIFA Men's World Cup,WC-2006,2006,Mauricio Solís,P-26474,midfielder,MF,8,1972-12-13,33,Comunicaciones Guatemala,Guatemala,5,0
