team,team_id,team_code,confederation,tournament,tournament_id,year,player_name,player_id,position,pos_code,shirt_number,date_of_birth,age,club,club_country,caps,goals
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Arsène Auguste,P-47461,defender,DF,3,1951-02-03,23,Racing Club Haïtien,Haiti,0,0
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Claude Barthélemy,P-50623,forward,FW,18,1945-05-09,29,Racing Club Haïtien,Haiti,0,0
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Eddy Antoine,P-54786,midfielder,MF,9,1949-08-27,24,,,,
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Emmanuel Sanon,P-32958,forward,FW,20,1951-06-25,22,Beerschot VAV,Belgium,0,0
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Ernst Jean-Joseph,P-13619,midfielder,MF,12,1948-06-11,26,Violette Port-au-Prince,Haiti,0,0
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Fritz André,P-67450,defender,DF,4,1946-09-18,27,Violette Port-au-Prince,Haiti,0,0
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Fritz Leandré,P-16092,forward,FW,16,1948-03-13,26,Racing Club Haïtien,Haiti,0,0
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Guy François,P-39155,midfielder,MF,10,1947-09-18,26,Violette Port-au-Prince,Haiti,0,0
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Guy Saint-Vil,P-58000,forward,FW,11,1942-10-21,31,Violette Port-au-Prince,Haiti,0,0
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Gérard Joseph,P-42054,goal keeper,GK,22,1949-10-22,24,Racing Club Haïtien,Haiti,0,0
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Henri Françillon,P-46307,goal keeper,GK,1,1946-05-26,28,TSV 1860 München,Germany,0,0
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Jean-Claude Désir,P-83389,midfielder,MF,8,1946-08-08,27,Aigle Noir Port-au-Prince,Haiti,0,0
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Jean-Herbert Austin,P-19426,defender,DF,19,1950-02-23,24,Violette Port-au-Prince,Haiti,0,0
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Joseph-Marion Leandré,P-52149,midfielder,MF,17,1945-05-09,29,Racing Club Haïtien,Haiti,0,0
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Philippe Vorbe,P-40069,midfielder,MF,7,1947-09-14,26,Violette Port-au-Prince,Haiti,0,0
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Pierre Bayonne,P-28084,defender,DF,6,1949-06-11,25,Violette Port-au-Prince,Haiti,0,0
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Roger Saint-Vil,P-28638,forward,FW,15,1949-12-08,24,,,,
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Serge Ducosté,P-71319,defender,DF,5,1944-02-04,30,Aigle Noir Port-au-Prince,Haiti,0,0
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Serge Racine,P-11430,defender,DF,13,1951-10-09,22,Aigle Noir Port-au-Prince,Haiti,0,0
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Wilfried Louis,P-93412,defender,DF,2,1949-10-25,24,Don Bosco Pétion-Ville,Haiti,0,0
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Wilner Nazaire,P-14414,defender,DF,14,1950-03-30,24,,,,
Haiti,HTI,HTI,CONCACAF,1974 FIFA Men's World Cup,WC-1974,1974,Wilner Piquant,P-87822,goal keeper,GK,21,1949-10-12,24,,,,
