tournament_id,match_id,match_number,date,tournament,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,team_score,opponent_score,result,city,country,neutral,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta
,,,1940-04-02,Friendly,played,Croatia,HRV,HRV,UEFA,Switzerland,CHE,CHE,UEFA,TRUE,4,0,win,Zagreb,Croatia,FALSE,1900,1783,1908,1775,8
,,,1940-04-21,Friendly,played,Croatia,HRV,HRV,UEFA,Switzerland,CHE,CHE,UEFA,FALSE,1,0,win,Bern,Switzerland,FALSE,1908,1775,1917,1766,9
,,,1940-05-02,Friendly,played,Croatia,HRV,HRV,UEFA,Hungary,HUN,HUN,UEFA,FALSE,0,1,loss,Budapest,Hungary,FALSE,1917,1881,1909,1889,-8
,,,1940-12-08,Friendly,played,Croatia,HRV,HRV,UEFA,Hungary,HUN,HUN,UEFA,TRUE,1,1,draw,Zagreb,Croatia,FALSE,1909,1882,1905,1886,-4
,,,1941-06-15,Friendly,played,Croatia,HRV,HRV,UEFA,Germany,GER,DEU,UEFA,FALSE,1,5,loss,Vienna,Germany,FALSE,1905,1844,1888,1861,-17
,,,1941-09-28,Friendly,played,Croatia,HRV,HRV,UEFA,Slovakia,SVK,SVK,UEFA,TRUE,5,2,win,Zagreb,Croatia,FALSE,1886,1712,1892,1706,6
,,,1942-01-18,Friendly,played,Croatia,HRV,HRV,UEFA,Germany,GER,DEU,UEFA,TRUE,0,2,loss,Zagreb,Croatia,FALSE,1892,1848,1871,1869,-21
,,,1942-04-05,Friendly,played,Croatia,HRV,HRV,UEFA,Italy,ITA,ITA,UEFA,FALSE,0,4,loss,Genoa,Italy,FALSE,1871,2070,1865,2076,-6
,,,1942-06-07,Friendly,played,Croatia,HRV,HRV,UEFA,Slovakia,SVK,SVK,UEFA,FALSE,2,1,win,Bratislava,Slovakia,FALSE,1868,1687,1876,1679,8
,,,1942-06-14,Friendly,played,Croatia,HRV,HRV,UEFA,Hungary,HUN,HUN,UEFA,FALSE,1,1,draw,Budapest,Hungary,FALSE,1876,1849,1878,1847,2
,,,1942-09-06,Friendly,played,Croatia,HRV,HRV,UEFA,Slovakia,SVK,SVK,UEFA,TRUE,6,1,win,Zagreb,Croatia,FALSE,1878,1683,1884,1677,6
,,,1942-10-11,Friendly,played,Croatia,HRV,HRV,UEFA,Romania,ROU,ROU,UEFA,FALSE,2,2,draw,Bucharest,Romania,FALSE,1884,1547,1878,1553,-6
,,,1942-11-01,Friendly,played,Croatia,HRV,HRV,UEFA,Germany,GER,DEU,UEFA,FALSE,1,5,loss,Stuttgart,Germany,FALSE,1878,1884,1865,1897,-13
